n,operation,time_ns,comparisons,swaps,array_accesses,recursive_calls,allocations,mem_before,mem_after
100,insert,38729900,183,0,366,0,0,3481512,4655704
100,extract,278400,856,0,1812,0,0,4655704,4655704
100,decreaseKey,45600,219,0,448,0,0,4655704,4655704
100,merge,47200,277,0,554,0,1,4655704,4655704
100,insert,944300,186,0,372,0,0,4655704,4655704
100,extract,102800,853,0,1806,0,0,4655704,4655704
100,decreaseKey,18300,217,0,444,0,0,4655704,4655704
100,merge,27000,264,0,528,0,1,4655704,4655704
100,insert,752300,203,0,406,0,0,4655704,5117112
100,extract,99700,844,0,1788,0,0,5117112,5117112
100,decreaseKey,13400,233,0,476,0,0,5117112,5117112
100,merge,49800,293,0,586,0,1,5117112,5117112
1000,insert,14739200,2123,0,4246,0,0,5117112,5578504
1000,extract,3812400,15010,0,31020,0,0,5578504,6039896
1000,decreaseKey,433900,2415,0,4930,0,0,6291456,6291456
1000,merge,205600,2872,0,5744,0,1,6752856,6752856
1000,insert,1718000,2252,0,4504,0,0,6752856,7214248
1000,extract,539500,14966,0,30932,0,0,7214248,7675640
1000,decreaseKey,137200,2436,0,4972,0,0,8137056,8137056
1000,merge,183400,2920,0,5840,0,1,8388608,8850000
1000,insert,1656600,2153,0,4306,0,0,8850000,9311392
1000,extract,493300,15008,0,31016,0,0,9311392,9311392
1000,decreaseKey,66600,2455,0,5010,0,0,10234176,10234176
1000,merge,165200,2913,0,5826,0,1,10234176,10485760
10000,insert,7059100,22833,0,45666,0,0,10485760,16064288
10000,extract,5988400,216517,0,443034,0,0,16064288,19797152
10000,decreaseKey,1382800,24513,0,50026,0,0,4938728,5300928
10000,merge,4971400,29162,0,58324,0,1,8122328,9857312
10000,insert,6574700,22746,0,45492,0,0,9857312,15424472
10000,extract,8603300,216585,0,443170,0,0,15424472,19256624
10000,decreaseKey,670700,24344,0,49688,0,0,24899520,25261656
10000,merge,2971900,28912,0,57824,0,1,28007400,29587064
10000,insert,5532500,22336,0,44672,0,0,29587064,35023120
10000,extract,4482000,216655,0,443310,0,0,35023120,39217424
10000,decreaseKey,2437500,24502,0,50004,0,0,44422448,3474632
10000,merge,1498200,28805,0,57610,0,1,6024456,8121616
